starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 13:02:05 2018	1523905325	0	34	34	33
Mon Apr 16 13:02:05 2018	1523905325	0	34	34	34
Mon Apr 16 13:02:06 2018	1523905326	0	35	35	35
Mon Apr 16 13:02:07 2018	1523905327	1	34	35	34
Mon Apr 16 13:02:06 2018	1523905326	0	35	35	35
Mon Apr 16 13:02:05 2018	1523905325	0	35	35	35
Mon Apr 16 13:02:06 2018	1523905326	0	35	35	35
Mon Apr 16 13:02:07 2018	1523905327	1	34	35	34
Mon Apr 16 13:02:07 2018	1523905327	0	35	35	35
Mon Apr 16 13:02:06 2018	1523905326	0	35	35	35
Mon Apr 16 13:02:06 2018	1523905326	0	35	35	34
Mon Apr 16 13:02:05 2018	1523905325	0	35	35	35
Mon Apr 16 13:02:05 2018	1523905325	1	34	35	34
Mon Apr 16 13:02:06 2018	1523905326	0	35	35	34
Mon Apr 16 13:02:03 2018	1523905323	0	35	35	35
Mon Apr 16 13:02:07 2018	1523905327	0	35	35	35
Mon Apr 16 13:02:07 2018	1523905327	0	35	35	35
Mon Apr 16 13:02:06 2018	1523905326	1	34	35	34
Mon Apr 16 13:02:06 2018	1523905326	1	34	35	34
Mon Apr 16 13:02:06 2018	1523905326	0	36	36	36
Mon Apr 16 13:02:07 2018	1523905327	0	36	36	36
Mon Apr 16 13:02:03 2018	1523905323	0	36	36	36
Mon Apr 16 13:02:07 2018	1523905327	0	36	36	36
Mon Apr 16 13:02:05 2018	1523905325	0	36	36	36
Mon Apr 16 13:02:07 2018	1523905327	1	35	36	35
Mon Apr 16 13:02:05 2018	1523905325	0	36	36	36
Mon Apr 16 13:02:07 2018	1523905327	1	35	36	35
Mon Apr 16 13:02:07 2018	1523905327	1	35	36	34
Mon Apr 16 13:02:07 2018	1523905327	0	36	36	35
Mon Apr 16 13:02:07 2018	1523905327	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	1	35	36	35
Mon Apr 16 13:02:07 2018	1523905327	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	0	36	36	36
Mon Apr 16 13:02:06 2018	1523905326	0	37	37	37
Mon Apr 16 13:02:04 2018	1523905324	0	37	37	37
Mon Apr 16 13:02:06 2018	1523905326	0	37	37	37
Mon Apr 16 13:02:04 2018	1523905324	0	37	37	37
Mon Apr 16 13:02:07 2018	1523905327	0	37	37	37
Mon Apr 16 13:02:05 2018	1523905325	0	37	37	37
Mon Apr 16 13:02:06 2018	1523905326	0	37	37	37
Mon Apr 16 13:02:07 2018	1523905327	0	37	37	37
Mon Apr 16 13:02:06 2018	1523905326	0	37	37	37
Mon Apr 16 13:02:05 2018	1523905325	0	37	37	37
Mon Apr 16 13:02:05 2018	1523905325	1	36	37	36
Mon Apr 16 13:02:04 2018	1523905324	1	36	37	36
Mon Apr 16 13:02:06 2018	1523905326	0	37	37	37
Mon Apr 16 13:02:03 2018	1523905323	0	37	37	37
Mon Apr 16 13:02:07 2018	1523905327	0	37	37	37
Mon Apr 16 13:02:04 2018	1523905324	0	37	37	37
Mon Apr 16 13:02:04 2018	1523905324	0	37	37	37
Mon Apr 16 13:02:06 2018	1523905326	0	37	37	37
Mon Apr 16 13:02:05 2018	1523905325	0	37	37	37
Mon Apr 16 13:02:03 2018	1523905323	0	37	37	37
Mon Apr 16 13:02:06 2018	1523905326	0	38	38	38
Mon Apr 16 13:02:06 2018	1523905326	0	38	38	38
Mon Apr 16 13:02:07 2018	1523905327	1	37	38	37
Mon Apr 16 13:02:04 2018	1523905324	0	38	38	38
Mon Apr 16 13:02:04 2018	1523905324	0	38	38	38
Mon Apr 16 13:02:06 2018	1523905326	0	38	38	38
Mon Apr 16 13:02:06 2018	1523905326	0	38	38	38
Mon Apr 16 13:02:06 2018	1523905326	0	38	38	38
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:06 2018	1523905326	0	39	39	39
Mon Apr 16 13:02:04 2018	1523905324	0	39	39	39
Mon Apr 16 13:02:05 2018	1523905325	0	39	39	39
Mon Apr 16 13:02:05 2018	1523905325	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:05 2018	1523905325	0	39	39	39
Mon Apr 16 13:02:05 2018	1523905325	0	39	39	39
Mon Apr 16 13:02:05 2018	1523905325	0	39	39	39
Mon Apr 16 13:02:08 2018	1523905328	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:06 2018	1523905326	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:05 2018	1523905325	0	39	39	39
Mon Apr 16 13:02:06 2018	1523905326	0	39	39	39
Mon Apr 16 13:02:06 2018	1523905326	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	1	38	39	38
Mon Apr 16 13:02:07 2018	1523905327	0	39	39	39
Mon Apr 16 13:02:06 2018	1523905326	0	39	39	39
Mon Apr 16 13:02:07 2018	1523905327	0	40	40	40
Mon Apr 16 13:02:07 2018	1523905327	0	40	40	40
Mon Apr 16 13:02:04 2018	1523905324	1	39	40	39
Mon Apr 16 13:02:06 2018	1523905326	1	39	40	39
Mon Apr 16 13:02:05 2018	1523905325	0	40	40	40
Mon Apr 16 13:02:03 2018	1523905323	1	39	40	39
